source	target	score	evalue
CAI33149.1	CAI33169.1	761	0.0
CAI33149.1	CAI33188.1	437	7e-155
CAI33169.1	CAI33188.1	437	7e-155
CAI33278.1	CAI34753.1	807	0.0
CAI33278.1	CAI33252.1	807	0.0
CAI33278.1	CAI34613.1	772	0.0
CAI33278.1	CAI33226.1	772	0.0
CAI33226.1	CAI34613.1	799	0.0
CAI33226.1	CAI34753.1	772	0.0
CAI33226.1	CAI33252.1	772	0.0
CAI33252.1	CAI34753.1	807	0.0
CAI33252.1	CAI34613.1	772	0.0
CAI33324.1	CAI33389.1	586	0.0
CAI33324.1	CAI33366.1	586	0.0
CAI33412.1	CAI33343.1	775	0.0
CAI33366.1	CAI33389.1	759	0.0
CAI33441.1	CAI34310.1	104	2e-26
CAI33515.1	CAI33491.1	214	9e-68
CAI33610.1	CAI33585.1	825	0.0
CAI33610.1	CAI33561.1	825	0.0
CAI33610.1	CAI33537.1	765	0.0
CAI33537.1	CAI33585.1	743	0.0
CAI33537.1	CAI33561.1	743	0.0
CAI33561.1	CAI33585.1	831	0.0
CAI33700.1	CAI33631.1	696	0.0
CAI33652.1	CAI33675.1	807	0.0
CAI33798.1	CAI33774.1	842	0.0
CAI33862.1	CAI33840.1	609	0.0
CAI33941.1	CAI33915.1	832	0.0
CAI33941.1	CAI33890.1	825	0.0
CAI33890.1	CAI33915.1	825	0.0
CAI33983.1	CAI33966.2	952	0.0
CAI33983.1	CAI34407.1	946	0.0
CAI33966.2	CAI34407.1	946	0.0
CAI34057.2	CAI34032.1	797	0.0
CAI34080.1	CAI34348.1	581	0.0
CAI34080.1	CAI34657.1	577	0.0
CAI34080.1	CAI34519.1	359	3e-124
CAI34080.1	CAI34328.1	359	3e-124
CAI34080.1	CAI34286.1	356	7e-123
CAI34080.1	CAI34310.1	345	1e-118
CAI34099.1	CAI34498.1	156	3e-45
CAI34099.1	CAI34475.1	153	4e-44
CAI34150.1	CAI34124.1	799	0.0
CAI34150.1	CAI34680.1	138	1e-38
CAI34124.1	CAI34680.1	138	1e-38
CAI34254.1	CAI34177.1	810	0.0
CAI34254.1	CAI34388.1	804	0.0
CAI34254.1	CAI34236.1	218	9e-69
CAI34254.1	CAI34198.1	217	2e-68
CAI34254.1	CAI34217.1	213	6e-67
CAI34177.1	CAI34388.1	804	0.0
CAI34177.1	CAI34236.1	218	9e-69
CAI34177.1	CAI34198.1	217	2e-68
CAI34177.1	CAI34217.1	213	6e-67
CAI34198.1	CAI34236.1	774	0.0
CAI34198.1	CAI34217.1	616	0.0
CAI34198.1	CAI34388.1	206	1e-64
CAI34217.1	CAI34236.1	597	0.0
CAI34217.1	CAI34388.1	203	3e-63
CAI34236.1	CAI34388.1	207	9e-65
CAI34348.1	CAI34657.1	791	0.0
CAI34348.1	CAI34310.1	371	2e-128
CAI34348.1	CAI34519.1	365	2e-126
CAI34348.1	CAI34328.1	365	2e-126
CAI34348.1	CAI34286.1	362	4e-125
CAI34286.1	CAI34519.1	764	0.0
CAI34286.1	CAI34328.1	764	0.0
CAI34286.1	CAI34310.1	507	0.0
CAI34286.1	CAI34657.1	369	4e-128
CAI34310.1	CAI34519.1	526	0.0
CAI34310.1	CAI34328.1	526	0.0
CAI34310.1	CAI34657.1	387	8e-135
CAI34328.1	CAI34519.1	770	0.0
CAI34328.1	CAI34657.1	373	2e-129
CAI34498.1	CAI34475.1	812	0.0
CAI34519.1	CAI34657.1	373	2e-129
CAI34544.1	CAI34641.1	300	9e-102
CAI34753.1	CAI34613.1	772	0.0
AAN23041.1	AAN23057.1	705	0.0
AAN23041.1	AAN23078.1	705	0.0
CAB63298.1	ACV53000.1	779	0.0
CAB63298.1	ACV52983.1	765	0.0
CAB63298.1	AKA20948.1	227	4e-73
CAB63298.1	BAQ01843.1	185	2e-56
ADI59429.1	ADI59445.1	807	0.0
AAN23078.1	AAN23057.1	705	0.0
AKA20935.1	AKA20966.1	818	0.0
AKA20935.1	AKL88154.1	792	0.0
AKA20935.1	BAQ00945	298	2e-99
AKA20935.1	BAQ02105	298	2e-99
AKA20935.1	BAQ02177.1	298	2e-99
AKA20935.1	AAY23745.1	298	2e-99
AKA20935.1	AAY23733.1	298	4e-99
AKA20935.1	AAY23739.1	297	6e-99
AKA20935.1	BAQ01935.1	280	5e-92
AKA20948.1	ACV52983.1	226	1e-72
AKA20948.1	ACV53000.1	217	2e-69
AKA20948.1	BAQ01843.1	111	2e-29
AKA20966.1	AKL88154.1	790	0.0
AKA20966.1	BAQ00945	297	1e-98
AKA20966.1	BAQ02105	297	1e-98
AKA20966.1	BAQ02177.1	297	1e-98
AKA20966.1	AAY23745.1	297	1e-98
AKA20966.1	AAY23733.1	296	2e-98
AKA20966.1	AAY23739.1	296	3e-98
AKA20966.1	BAQ01935.1	278	2e-91
AKA20981.1	CAX18360.1	783	0.0
AKA20981.1	AKA20999.1	659	0.0
AKA20999.1	CAX18360.1	618	0.0
AEP25500.1	WP_000482333	162	2e-49
AEP25500.1	BAG11898.1	156	3e-47
AKL88154.1	AAY23733.1	298	2e-99
AKL88154.1	BAQ00945	298	2e-99
AKL88154.1	BAQ02105	298	2e-99
AKL88154.1	BAQ02177.1	298	2e-99
AKL88154.1	AAY23745.1	298	2e-99
AKL88154.1	AAY23739.1	297	4e-99
AKL88154.1	BAQ01935.1	280	3e-92
ADX97403.1	WP_001300154	159	7e-48
ADX97403.1	AFE83402.1	159	7e-48
ACV52983.1	ACV53000.1	763	0.0
ACV52983.1	BAQ01843.1	186	8e-57
AFV46136.1	ADC54967.1	129	5e-36
ACV53000.1	BAQ01843.1	185	3e-56
ACD37165.1	BAQ02259.1	731	0.0
ACD37165.1	ACD37173.1	731	0.0
ACD37165.1	ACD37181.1	712	0.0
ACD37173.1	BAQ02259.1	731	0.0
ACD37173.1	ACD37181.1	712	0.0
AAY23739.1	BAQ00945	875	0.0
AAY23739.1	BAQ02105	875	0.0
AAY23739.1	BAQ02177.1	875	0.0
AAY23739.1	AAY23745.1	875	0.0
AAY23739.1	AAY23733.1	872	0.0
AAY23739.1	BAQ01935.1	370	5e-127
AAY23733.1	BAQ00945	873	0.0
AAY23733.1	BAQ02105	873	0.0
AAY23733.1	BAQ02177.1	873	0.0
AAY23733.1	AAY23745.1	873	0.0
AAY23733.1	BAQ01935.1	370	4e-127
AAY23745.1	BAQ00945	877	0.0
AAY23745.1	BAQ02105	877	0.0
AAY23745.1	BAQ02177.1	877	0.0
AAY23745.1	BAQ01935.1	371	2e-127
ADC54950.1	BAQ00687.1	768	0.0
ADC54950.1	BAQ00669.1	755	0.0
ADC54950.1	BAQ01732.1	382	2e-133
BAQ00669.1	BAQ00687.1	753	0.0
BAQ00669.1	BAQ01732.1	372	2e-129
BAQ00736.1	BAQ01277.1	141	8e-40
BAQ00736.1	ACD37058.1	134	3e-37
BAQ00736.1	ACD37051.1	131	3e-36
ABB29906.1	ABB29916.1	515	0.0
ABF01010.1	ACK44379.1	914	0.0
ABF01010.1	AAM27546	142	2e-39
ACK44379.1	AAM27546	142	2e-39
ACA24852.1	ACA24840.1	764	0.0
ACD37058.1	ACD37051.1	783	0.0
ACD37058.1	BAQ01277.1	302	2e-101
BAQ00846.1	BAQ00975.1	121	6e-33
BAQ00858.1	ACA24776.1	785	0.0
BAQ00879.1	BAQ02224.1	126	4e-34
BAQ00879.1	BAQ02068.1	126	4e-34
BAQ00879.1	ABG81806.1	126	4e-34
BAQ00879.1	AJR19430.1	103	8e-27
BAQ00879.1	BAH24292.1	101	2e-25
ACD37117.1	ACD37111.1	769	0.0
BAQ00957.1	BAQ01687.1	748	0.0
BAQ00994.1	ADC54974.1	104	5e-27
ACD75809.1	BAQ01012.1	631	0.0
BAQ01024.1	AQU71752.1	204	5e-65
BAQ01024.1	BAQ00622.1	191	6e-60
BAQ01024.1	AQU71805.1	186	3e-58
ABZ79721.1	ABB65530.1	846	0.0
ACA24882.1	ACA24868.1	874	0.0
BAQ01169.1	ACA24803.1	133	1e-37
BAQ01169.1	ACA24792.1	132	3e-37
CBN82200.1	ADI77033.1	141	1e-39
AFE83402.1	WP_001300154	680	0.0
ACA24739.1	AAL27327.1	699	0.0
BAQ01277.1	ACD37051.1	268	2e-88
BAQ01361.1	AAR90892.1	750	0.0
BAQ01361.1	CAS09721.1	750	0.0
BAQ01386.1	ACA24912.1	104	9e-26
ACA24829.1	AAS98031.1	647	0.0
ACH97132.1	ACH97143.1	854	0.0
ACH97132.1	ABE98413.1	853	0.0
ACD37086.1	ACD37078.1	760	0.0
ACD37086.1	BAQ01999.1	105	6e-27
ACD37014.1	ACD37006.1	711	0.0
AAT77177.1	BAQ00569.1	169	1e-49
ADQ37335.1	ADQ37322.1	716	0.0
ADQ37335.1	ADN43894.1	168	7e-51
ADQ37335.1	ACA24811.1	167	3e-50
ADQ37335.1	ACA24821.1	166	5e-50
ABG81806.1	BAQ02224.1	829	0.0
ABG81806.1	BAQ02068.1	829	0.0
ABG81806.1	AJR19430.1	634	0.0
BAQ02068.1	BAQ02224.1	829	0.0
BAQ02068.1	AJR19430.1	634	0.0
ACD37138.1	ACD37146.1	704	0.0
ACD37138.1	ACD37105.1	696	0.0
ACD37146.1	ACD37105.1	698	0.0
BAQ01598.1	WP_038349068.1	861	0.0
AAO37701.1	WP_024244058.1	685	0.0
ACD37157.1	BAQ01494.1	278	4e-93
ACD37157.1	AFS33314.1	276	1e-92
BAQ01675.1	ACD37126.1	131	1e-36
AAZ85713.1	AAM27615	284	1e-94
ABI98976.1	WP_046788607.1	682	0.0
ABI98976.1	WP_000456161.1	679	0.0
BAQ01732.1	BAQ00687.1	371	3e-129
ACA24764.1	ACA24754.1	692	0.0
ABE98437.1	ABU80601.1	225	6e-72
ABE98437.1	ABI98986.1	225	7e-72
ABI98986.1	ABU80601.1	771	0.0
ABI98966.1	AAV41072.1	683	0.0
ACA24803.1	ACA24792.1	714	0.0
ACA24821.1	ACA24811.1	702	0.0
ACA24821.1	ADN43894.1	238	6e-78
ACA24821.1	ADQ37322.1	178	1e-54
BAQ01793.1	BAQ01878.1	111	3e-29
BAQ01812.1	BAQ01687.1	110	5e-29
ADN43883.1	ACD37072.1	148	6e-42
ACD37046.1	ACD37037.1	824	0.0
ACD36996.1	ACD36984.1	795	0.0
BAQ01860.1	BAL03056.1	669	0.0
BAQ01860.1	AAL27339.1	667	0.0
AAT28922.1	AAR24270.1	285	2e-95
ADN43894.1	ACA24811.1	224	1e-72
ADN43894.1	ADQ37322.1	161	3e-48
BAQ01935.1	BAQ00945	370	3e-127
BAQ01935.1	BAQ02105	370	3e-127
BAQ01935.1	BAQ02177.1	370	3e-127
EHX11459.1	AAX07747.1	416	2e-149
EHX11459.1	AFC91419.1	416	2e-149
EHX11459.1	AFC91458.1	414	1e-148
AFC91458.1	AFC91419.1	760	0.0
AFC91458.1	AAX07747.1	759	0.0
AFC91419.1	AAX07747.1	761	0.0
WP_000482333	BAG11898.1	631	0.0
CAD19991.1	WP_000864940	884	0.0
CAD19991.1	ADT75640.1	880	0.0
WP_000864940	ADT75640.1	879	0.0
AAD44158.1	BAH24292.1	738	0.0
BAQ00622.1	AQU71752.1	560	0.0
BAQ00622.1	AQU71805.1	214	8e-69
BAQ01494.1	AFS33314.1	739	0.0
ACH97143.1	ABE98413.1	855	0.0
ABE98419.1	ADN43845.1	666	0.0
CAS09721.1	AAR90892.1	761	0.0
ACD37181.1	BAQ02259.1	712	0.0
ABA42232.1	WP_000220864.1	746	0.0
ADQ37322.1	ACA24811.1	165	9e-50
BAQ01999.1	ACD37078.1	116	1e-30
EKI39969.1	BAK68980.1	770	0.0
EKI39969.1	EKI95922.1	765	0.0
EKI39969.1	AAC32340.1	763	0.0
EKI39969.1	BAK69033.1	763	0.0
EKI39969.1	EKK44895.1	762	0.0
EKI39969.1	BAK69191.1	761	0.0
BAK68980.1	EKI95922.1	780	0.0
BAK68980.1	BAK69033.1	778	0.0
BAK68980.1	AAC32340.1	778	0.0
BAK68980.1	BAK69191.1	776	0.0
BAK68980.1	EKK44895.1	763	0.0
EKK44895.1	BAK69191.1	771	0.0
EKK44895.1	BAK69033.1	770	0.0
EKK44895.1	EKI95922.1	769	0.0
EKK44895.1	AAC32340.1	766	0.0
BAK69191.1	BAK69033.1	784	0.0
BAK69191.1	EKI95922.1	782	0.0
BAK69191.1	AAC32340.1	780	0.0
BAK69033.1	EKI95922.1	784	0.0
BAK69033.1	AAC32340.1	781	0.0
AAC32340.1	EKI95922.1	782	0.0
ABK27355.1	ABK27350.1	747	0.0
ABK27355.1	ABK27351.1	746	0.0
ABK27355.1	BAI31288.1	745	0.0
ABK27355.1	ABK27354.1	742	0.0
ABK27355.1	ABK27352.1	740	0.0
ABK27355.1	ABK27321.1	735	0.0
ABK27354.1	ABK27350.1	751	0.0
ABK27354.1	ABK27351.1	750	0.0
ABK27354.1	BAI31288.1	749	0.0
ABK27354.1	ABK27352.1	744	0.0
ABK27354.1	ABK27321.1	739	0.0
ABK27351.1	ABK27350.1	756	0.0
ABK27351.1	BAI31288.1	754	0.0
ABK27351.1	ABK27352.1	748	0.0
ABK27351.1	ABK27321.1	743	0.0
BAI31288.1	ABK27350.1	755	0.0
BAI31288.1	ABK27352.1	748	0.0
BAI31288.1	ABK27321.1	743	0.0
ABK27350.1	ABK27352.1	749	0.0
ABK27350.1	ABK27321.1	744	0.0
ABK27321.1	ABK27352.1	751	0.0
AFC91472.1	AFC91570.1	786	0.0
AFC91472.1	AAO39700.1	786	0.0
AFC91472.1	AFC91514.1	786	0.0
AFC91472.1	AAR97964.1	785	0.0
AFC91514.1	AFC91570.1	788	0.0
AFC91514.1	AAO39700.1	788	0.0
AFC91514.1	AAR97964.1	788	0.0
AAO39700.1	AFC91570.1	788	0.0
AAO39700.1	AAR97964.1	788	0.0
AHG15281.1	AAX58762.1	766	0.0
AHG15281.1	AFD18613	766	0.0
AFC91570.1	AAR97964.1	788	0.0
AFD18613	AAX58762.1	767	0.0
BAQ02177.1	BAQ00945	877	0.0
BAQ02177.1	BAQ02105	877	0.0
WP_074526664.1	ABD19779.1	751	0.0
AJR19430.1	BAQ02224.1	634	0.0
WP_046788607.1	WP_000456161.1	733	0.0
AQU71717.1	AQU71739.1	665	0.0
AQU71752.1	AQU71805.1	204	4e-65
BAL03056.1	AAL27339.1	677	0.0
BAQ02105	BAQ00945	877	0.0
AAD45264.1	AAM27574	793	0.0
AAA97573.1	AAM27748	866	0.0
AAA97573.1	AAM27693	866	0.0
AAA97573.1	AAM27801	866	0.0
AAA97573.1	AAM27728	866	0.0
AAA97573.1	AAC45857.1	860	0.0
AAA97573.1	AAM27662	854	0.0
AAC45857.1	AAM27748	862	0.0
AAC45857.1	AAM27693	862	0.0
AAC45857.1	AAM27801	862	0.0
AAC45857.1	AAM27728	862	0.0
AAC45857.1	AAM27662	852	0.0
AAM27728	AAM27748	867	0.0
AAM27728	AAM27693	867	0.0
AAM27728	AAM27801	867	0.0
AAM27728	AAM27662	856	0.0
AAM27766	AAM27645	801	0.0
AAM27801	AAM27748	867	0.0
AAM27801	AAM27693	867	0.0
AAM27801	AAM27662	856	0.0
AAM27560	AAM27711	878	0.0
AAM27662	AAM27748	856	0.0
AAM27662	AAM27693	856	0.0
AAM27693	AAM27748	867	0.0
