source	target	score	evalue
AHB32538.1	AFS33314.1	177	8e-54
AHB32538.1	BAQ01494.1	175	3e-53
AHB32538.1	BAQ00975.1	80.1	2e-18
AHB32538.1	BAQ00846.1	57.0	9e-11
AHB32538.1	ACD37006.1	55.1	3e-10
AHB32538.1	ACD37014.1	55.1	3e-10
AHB32538.1	BAQ01702.1	43.9	1e-06
AHB32538.1	ABZ79721.1	43.5	2e-06
AHB32538.1	ABB65530.1	43.5	2e-06
AHB32538.1	AEP25477.1	33.5	0.002
AHB32538.1	CAI34057.2	30.8	0.019
AHB32538.1	CAI34032.1	30.8	0.020
AHB32538.1	BAQ01878.1	30.4	0.023
AHB32563.2	BAQ02088.1	52.4	3e-09
AHB32563.2	BAQ00795.1	49.3	2e-08
AHB32563.2	ACD37037.1	42.4	4e-06
AHB32563.2	ACD37046.1	42.4	4e-06
AHB32563.2	BAQ01659.1	37.4	2e-04
AHB32563.2	ACA24764.1	32.7	0.005
AHB32563.2	AAZ85713.1	32.3	0.006
AHB32563.2	WP_003022294	30.8	0.018
AHB32563.2	ACA24754.1	30.8	0.019
AHB32666.1	AHB32888.2	293	1e-100
AHB32666.1	AHB32746.2	187	7e-61
AHB32666.1	AHB32334.1	135	4e-39
AHB32666.1	AAL27339.1	53.1	8e-10
AHB32666.1	ADC54967.1	51.2	3e-09
AHB32666.1	AFV46136.1	50.8	6e-09
AHB32666.1	BAL03056.1	49.7	1e-08
AHB32666.1	BAQ01860.1	47.4	7e-08
AHB32666.1	AHB32462.1	42.0	4e-06
AHB32666.1	CAI33718.1	40.4	1e-05
AHB32666.1	BAQ01293.1	40.0	2e-05
AHB32666.1	ADQ37335.1	40.0	2e-05
AHB32666.1	ADQ37322.1	40.0	2e-05
AHB32666.1	ADC54957.1	38.1	7e-05
AHB32666.1	BAQ00622.1	37.7	8e-05
AHB32666.1	ACA24829.1	36.6	2e-04
AHB32666.1	AAS98031.1	36.6	2e-04
AHB32666.1	AHB32637.1	35.8	4e-04
AHB32666.1	AHB32715.1	35.8	4e-04
AHB32666.1	AHB32687.1	35.4	5e-04
AHB32666.1	BAQ00746.1	35.0	6e-04
AHB32666.1	AQU71752.1	34.7	8e-04
AHB32666.1	BAQ01743.1	34.7	0.001
AHB32666.1	AHB32283.1	34.3	0.001
AHB32666.1	AHB32799.1	33.9	0.001
AHB32666.1	BAQ01169.1	33.5	0.002
AHB32666.1	AAK64372.1	32.3	0.005
AHB32666.1	AQU71788.1	31.2	0.010
AHB32666.1	WP_000456161.1	31.2	0.010
AHB32666.1	WP_046788607.1	30.8	0.013
AHB32666.1	AHB32832.1	30.8	0.014
AHB32242.2	WP_016238111	36.2	3e-04
AHB32242.2	BAQ00893.1	31.2	0.010
AHB32267.1	ACA24811.1	32.0	0.008
AHB32267.1	ACA24821.1	31.2	0.011
AHB32888.2	AHB32746.2	363	4e-130
AHB32888.2	AHB32334.1	145	5e-43
AHB32888.2	ADQ37322.1	48.5	3e-08
AHB32888.2	ADQ37335.1	48.1	3e-08
AHB32888.2	BAQ01293.1	43.5	1e-06
AHB32888.2	AAL27339.1	43.1	2e-06
AHB32888.2	ADC54967.1	40.4	1e-05
AHB32888.2	BAL03056.1	40.0	1e-05
AHB32888.2	ADI43271.1	39.3	3e-05
AHB32888.2	BAQ01860.1	38.5	4e-05
AHB32888.2	AAS98031.1	37.7	7e-05
AHB32888.2	AFV46136.1	37.0	1e-04
AHB32888.2	AHB32832.1	37.0	1e-04
AHB32888.2	AQU71752.1	36.2	2e-04
AHB32888.2	ACA24852.1	35.8	3e-04
AHB32888.2	ACA24840.1	35.8	3e-04
AHB32888.2	ACA24829.1	35.4	4e-04
AHB32888.2	BAQ00622.1	35.4	5e-04
AHB32888.2	ADC54957.1	35.0	6e-04
AHB32888.2	WP_016238111	34.7	0.001
AHB32888.2	AAK64372.1	33.1	0.002
AHB32888.2	ACV67297.1	33.1	0.002
AHB32888.2	AHB32637.1	33.1	0.002
AHB32888.2	AHB32715.1	33.1	0.002
AHB32888.2	ABI55342.1	31.2	0.010
AHB32888.2	ADC54929.1	30.4	0.019
AHB32311.1	BAQ01024.1	47.8	5e-08
AHB32311.1	ACV67297.1	43.1	2e-06
AHB32311.1	AHB32774.1	42.4	3e-06
AHB32311.1	AQU71752.1	33.5	0.002
AHB32311.1	BAQ01012.1	32.7	0.003
AHB32311.1	ACD75809.1	32.7	0.004
AHB32311.1	AHB32637.1	31.6	0.008
AHB32311.1	AHB32715.1	31.6	0.008
AHB32311.1	BAQ00746.1	30.8	0.014
AHB32311.1	ACA24792.1	30.4	0.022
AHB32311.1	ACA24803.1	30.4	0.022
AHB32746.2	AHB32334.1	70.9	1e-16
AHB32746.2	ADQ37322.1	46.2	4e-08
AHB32746.2	ADQ37335.1	46.2	4e-08
AHB32746.2	BAQ01293.1	43.9	2e-07
AHB32746.2	AHB32832.1	37.4	4e-05
AHB32746.2	ADI43271.1	37.0	6e-05
AHB32746.2	AQU71752.1	36.2	1e-04
AHB32746.2	ADC54957.1	35.8	1e-04
AHB32746.2	BAQ00622.1	35.0	2e-04
AHB32746.2	ACV67297.1	34.3	5e-04
AHB32746.2	AHB32637.1	33.9	6e-04
AHB32746.2	AHB32715.1	33.9	6e-04
AHB32746.2	AAS98031.1	33.5	8e-04
AHB32746.2	ACA24829.1	32.0	0.002
AHB32746.2	AFV46136.1	31.2	0.004
AHB32746.2	ABI55342.1	30.8	0.007
AHB32746.2	AAV41072.1	30.4	0.007
AHB32746.2	ABI98966.1	30.4	0.007
AHB32746.2	AAK64372.1	30.4	0.007
AHB32411.1	AFC91419.1	73.6	4e-16
AHB32411.1	AAX07747.1	73.2	4e-16
AHB32411.1	AFC91458.1	72.4	7e-16
AHB32411.1	EHX11459.1	39.3	3e-05
AHB32411.1	BAQ01780.1	33.9	0.002
AHB32411.1	AHB32586.1	30.4	0.025
AHB32510.1	ACK44379.1	81.3	2e-18
AHB32510.1	ABF01010.1	81.3	2e-18
AHB32510.1	BAQ02048.1	72.0	3e-15
AHB32510.1	AHB32490.1	49.7	3e-08
AHB32510.1	CAD19991.1	47.8	1e-07
AHB32510.1	AAM27546	47.4	2e-07
AHB32510.1	WP_000864940	47.4	2e-07
AHB32510.1	ADT75640.1	45.8	5e-07
AHB32510.1	ABE98413.1	31.6	0.013
AHB32510.1	ACH97132.1	31.6	0.015
AHB32510.1	ACH97143.1	31.6	0.015
AHB32510.1	ABB29916.1	30.8	0.022
AHB32774.1	AHB32438.2	342	4e-120
AHB32386.1	BAQ01894.1	31.2	0.013
AHB32687.1	BAQ01743.1	166	3e-49
AHB32687.1	ABI55342.1	64.7	3e-13
AHB32687.1	BAQ01641.1	40.8	2e-05
AHB32687.1	BAQ01584.1	40.4	2e-05
AHB32687.1	AHB32861.1	39.3	4e-05
AHB32687.1	WP_000456161.1	38.9	6e-05
AHB32687.1	CAI33718.1	36.2	4e-04
AHB32687.1	ACA24840.1	36.2	4e-04
AHB32687.1	ACA24852.1	36.2	5e-04
AHB32687.1	AHB32462.1	35.4	7e-04
AHB32687.1	BAQ01293.1	35.0	0.001
AHB32687.1	AAK64372.1	34.7	0.001
AHB32687.1	AHB32799.1	34.7	0.001
AHB32687.1	CAI34008.1	34.7	0.001
AHB32687.1	WP_046788607.1	33.9	0.002
AHB32687.1	AHB32637.1	33.5	0.003
AHB32687.1	AHB32715.1	33.5	0.003
AHB32687.1	BAL03056.1	32.3	0.007
AHB32687.1	AAS98031.1	31.6	0.009
AHB32687.1	BAQ01860.1	31.6	0.010
AHB32687.1	WP_024244058.1	31.6	0.011
AHB32687.1	AAO37701.1	31.6	0.011
AHB32687.1	ABI98976.1	31.6	0.013
AHB32687.1	ACA24829.1	31.2	0.013
AHB32687.1	ABK27351.1	31.2	0.015
AHB32687.1	ABK27355.1	31.2	0.017
AHB32687.1	BAI31288.1	30.8	0.018
AHB32687.1	ABK27350.1	30.8	0.018
AHB32687.1	ADC54957.1	30.4	0.028
AHB32687.1	ABK27354.1	30.4	0.030
AHB32687.1	WP_016238111	30.4	0.030
AHB32490.1	ACK44379.1	94.4	1e-22
AHB32490.1	ABF01010.1	94.4	1e-22
AHB32490.1	AAM27546	68.6	3e-14
AHB32490.1	BAQ02048.1	50.4	2e-08
AHB32715.1	AHB32637.1	681	0.0
AHB32715.1	AHB32462.1	75.5	4e-17
AHB32715.1	CAI33718.1	75.5	5e-17
AHB32715.1	BAQ01024.1	54.7	4e-10
AHB32715.1	AAK64372.1	53.9	6e-10
AHB32715.1	ABI98966.1	53.5	7e-10
AHB32715.1	AAV41072.1	52.4	2e-09
AHB32715.1	AQU71752.1	48.9	3e-08
AHB32715.1	BAQ02116.1	47.4	8e-08
AHB32715.1	AQU71805.1	45.4	4e-07
AHB32715.1	WP_024244058.1	44.3	8e-07
AHB32715.1	AAO37701.1	44.3	8e-07
AHB32715.1	AHB32832.1	43.1	2e-06
AHB32715.1	BAQ00622.1	42.4	3e-06
AHB32715.1	ACA24901.1	40.8	1e-05
AHB32715.1	ABB29916.1	40.8	1e-05
AHB32715.1	BAQ01860.1	40.4	1e-05
AHB32715.1	BAQ01293.1	39.7	3e-05
AHB32715.1	CAI34008.1	39.7	3e-05
AHB32715.1	AHB32799.1	39.3	3e-05
AHB32715.1	BAL03056.1	38.5	5e-05
AHB32715.1	BAQ00746.1	38.5	6e-05
AHB32715.1	WP_046788607.1	38.1	7e-05
AHB32715.1	AFV46136.1	38.1	8e-05
AHB32715.1	WP_000456161.1	37.7	1e-04
AHB32715.1	AAL27339.1	37.7	1e-04
AHB32715.1	ABI98976.1	37.7	1e-04
AHB32715.1	ACA24821.1	37.4	1e-04
AHB32715.1	ACA24811.1	37.0	2e-04
AHB32715.1	BAQ01169.1	37.0	2e-04
AHB32715.1	ADQ37322.1	37.0	2e-04
AHB32715.1	ADQ37335.1	37.0	2e-04
AHB32715.1	AHB32861.1	35.8	4e-04
AHB32715.1	ACV67297.1	35.4	5e-04
AHB32715.1	ADC54929.1	32.3	0.005
AHB32715.1	ACA24792.1	32.0	0.007
AHB32715.1	BAQ01743.1	31.6	0.009
AHB32715.1	ACA24803.1	31.6	0.009
AHB32715.1	AAT85653.1	31.6	0.009
AHB32715.1	AHB32283.1	30.8	0.017
AHB32462.1	AHB32637.1	75.5	4e-17
AHB32462.1	ADN43894.1	67.0	3e-14
AHB32462.1	BAQ01024.1	60.5	4e-12
AHB32462.1	ACA24852.1	59.7	1e-11
AHB32462.1	BAQ02116.1	59.3	1e-11
AHB32462.1	AQU71805.1	58.5	2e-11
AHB32462.1	ACA24840.1	58.2	3e-11
AHB32462.1	ACA24821.1	55.8	2e-10
AHB32462.1	ACA24811.1	55.8	2e-10
AHB32462.1	AFV46136.1	54.7	4e-10
AHB32462.1	ABB29916.1	53.9	5e-10
AHB32462.1	WP_024244058.1	53.5	9e-10
AHB32462.1	AAO37701.1	53.5	9e-10
AHB32462.1	AQU71752.1	53.1	1e-09
AHB32462.1	ADC54967.1	51.6	4e-09
AHB32462.1	AAK64372.1	50.8	6e-09
AHB32462.1	AQU71788.1	48.9	2e-08
AHB32462.1	BAQ00746.1	48.5	4e-08
AHB32462.1	ACD37138.1	48.1	5e-08
AHB32462.1	ACD37105.1	48.1	5e-08
AHB32462.1	ACD37146.1	48.1	5e-08
AHB32462.1	BAQ00622.1	47.8	5e-08
AHB32462.1	ABB29906.1	47.4	9e-08
AHB32462.1	CAI33718.1	46.6	1e-07
AHB32462.1	BAQ01293.1	45.1	5e-07
AHB32462.1	WP_046788607.1	44.3	8e-07
AHB32462.1	WP_000456161.1	43.9	1e-06
AHB32462.1	AAN60459.1	43.5	1e-06
AHB32462.1	ADQ37335.1	43.1	2e-06
AHB32462.1	ADQ37322.1	43.1	2e-06
AHB32462.1	ABI98976.1	42.7	3e-06
AHB32462.1	ACD75809.1	41.6	5e-06
AHB32462.1	ADC54929.1	41.6	5e-06
AHB32462.1	BAQ01012.1	41.2	8e-06
AHB32462.1	AHB32861.1	40.8	1e-05
AHB32462.1	BAQ01860.1	39.3	3e-05
AHB32462.1	AAT85653.1	39.3	3e-05
AHB32462.1	AAS98031.1	39.3	3e-05
AHB32462.1	ACV67297.1	39.3	4e-05
AHB32462.1	AAM27879	38.9	5e-05
AHB32462.1	ACA24829.1	38.1	7e-05
AHB32462.1	AHB32799.1	37.7	9e-05
AHB32462.1	AAL27339.1	37.4	1e-04
AHB32462.1	BAL03056.1	37.0	2e-04
AHB32462.1	AHB32832.1	35.8	4e-04
AHB32462.1	ABI55342.1	35.8	4e-04
AHB32462.1	ACH97162.1	33.9	0.002
AHB32462.1	CAI34008.1	33.1	0.003
AHB32462.1	ACA24901.1	32.7	0.004
AHB32462.1	ABI98966.1	30.8	0.015
AHB32462.1	AAV41072.1	30.8	0.016
AHB32334.1	AFV46136.1	65.1	1e-13
AHB32334.1	ADC54967.1	48.1	4e-08
AHB32334.1	ADC54957.1	43.9	1e-06
AHB32334.1	AHB32637.1	37.0	2e-04
AHB32334.1	BAQ00812.1	36.6	2e-04
AHB32334.1	BAQ01860.1	33.9	0.001
AHB32334.1	BAQ01024.1	33.9	0.002
AHB32334.1	CAI34008.1	33.9	0.002
AHB32334.1	AQU71788.1	33.5	0.002
AHB32334.1	BAL03056.1	33.5	0.002
AHB32334.1	ACA24829.1	33.5	0.002
AHB32334.1	ADQ37335.1	33.1	0.003
AHB32334.1	AAL27339.1	32.7	0.004
AHB32334.1	ADQ37322.1	32.3	0.005
AHB32334.1	AQU71805.1	32.0	0.006
AHB32334.1	BAQ01293.1	31.6	0.010
AHB32832.1	BAQ00812.1	64.7	1e-13
AHB32832.1	AHB32637.1	46.6	1e-07
AHB32832.1	BAQ01024.1	43.5	1e-06
AHB32832.1	AQU71752.1	38.9	3e-05
AHB32832.1	BAQ01293.1	37.0	1e-04
AHB32832.1	ACV67289.1	36.2	2e-04
AHB32832.1	BAQ00622.1	33.5	0.002
AHB32832.1	ADC54929.1	33.5	0.002
AHB32832.1	AQU71805.1	33.1	0.003
AHB32832.1	ADC54957.1	32.7	0.003
AHB32832.1	BAQ02116.1	32.0	0.005
AHB32832.1	AQU71739.1	31.6	0.008
AHB32832.1	AQU71717.1	31.6	0.008
AHB32832.1	ACA24829.1	31.2	0.012
AHB32832.1	AAS98031.1	30.4	0.018
AHB32614.2	ADC54967.1	36.2	2e-04
AHB32283.1	ACH97162.1	86.3	1e-20
AHB32283.1	AHB32637.1	37.0	2e-04
AHB32283.1	ADN43894.1	34.3	0.001
AHB32283.1	AFV46136.1	34.3	0.001
AHB32283.1	ADQ37335.1	32.7	0.004
AHB32283.1	ADQ37322.1	32.7	0.004
AHB32283.1	CAI34008.1	30.8	0.016
AHB32637.1	CAI33718.1	75.5	5e-17
AHB32637.1	BAQ01024.1	54.7	4e-10
AHB32637.1	AAK64372.1	53.9	6e-10
AHB32637.1	ABI98966.1	53.5	7e-10
AHB32637.1	AAV41072.1	52.4	2e-09
AHB32637.1	AQU71752.1	48.9	3e-08
AHB32637.1	BAQ02116.1	47.4	8e-08
AHB32637.1	AQU71805.1	45.4	4e-07
AHB32637.1	WP_024244058.1	44.3	8e-07
AHB32637.1	AAO37701.1	44.3	8e-07
AHB32637.1	BAQ00622.1	42.4	3e-06
AHB32637.1	ACA24901.1	40.8	1e-05
AHB32637.1	ABB29916.1	40.8	1e-05
AHB32637.1	BAQ01860.1	40.4	1e-05
AHB32637.1	BAQ01293.1	39.7	3e-05
AHB32637.1	CAI34008.1	39.7	3e-05
AHB32637.1	AHB32799.1	39.3	3e-05
AHB32637.1	BAL03056.1	38.5	5e-05
AHB32637.1	BAQ00746.1	38.5	6e-05
AHB32637.1	WP_046788607.1	38.1	7e-05
AHB32637.1	AFV46136.1	38.1	8e-05
AHB32637.1	WP_000456161.1	37.7	1e-04
AHB32637.1	AAL27339.1	37.7	1e-04
AHB32637.1	ABI98976.1	37.7	1e-04
AHB32637.1	ACA24821.1	37.4	1e-04
AHB32637.1	ACA24811.1	37.0	2e-04
AHB32637.1	BAQ01169.1	37.0	2e-04
AHB32637.1	ADQ37322.1	37.0	2e-04
AHB32637.1	ADQ37335.1	37.0	2e-04
AHB32637.1	AHB32861.1	35.8	4e-04
AHB32637.1	ACV67297.1	35.4	5e-04
AHB32637.1	ADC54929.1	32.3	0.005
AHB32637.1	ACA24792.1	32.0	0.007
AHB32637.1	BAQ01743.1	31.6	0.009
AHB32637.1	ACA24803.1	31.6	0.009
AHB32637.1	AAT85653.1	31.6	0.009
AHB32586.1	BAQ01516.1	365	3e-126
AHB32586.1	BAQ01137.1	30.8	0.021
AHB32861.1	AHB32799.1	218	2e-70
AHB32861.1	ACA24852.1	57.0	6e-11
AHB32861.1	ACA24840.1	56.6	1e-10
AHB32861.1	ACV67297.1	50.4	9e-09
AHB32861.1	BAQ01024.1	50.1	1e-08
AHB32861.1	BAQ01293.1	48.5	4e-08
AHB32861.1	AAT85653.1	47.4	9e-08
AHB32861.1	ADN43894.1	41.6	6e-06
AHB32861.1	ABI98976.1	39.3	4e-05
AHB32861.1	AQU71752.1	38.5	6e-05
AHB32861.1	CAI33718.1	38.1	8e-05
AHB32861.1	CAI34008.1	37.7	1e-04
AHB32861.1	AQU71788.1	37.4	1e-04
AHB32861.1	WP_046788607.1	36.6	2e-04
AHB32861.1	WP_000456161.1	36.6	2e-04
AHB32861.1	BAQ02116.1	36.6	3e-04
AHB32861.1	AAK64372.1	36.2	3e-04
AHB32861.1	BAQ01641.1	35.0	7e-04
AHB32861.1	BAQ00622.1	34.7	0.001
AHB32861.1	WP_024244058.1	34.3	0.001
AHB32861.1	AAO37701.1	34.3	0.001
AHB32861.1	BAQ00634.1	33.1	0.003
AHB32861.1	ADC54929.1	32.0	0.006
AHB32799.1	ACA24852.1	70.9	2e-15
AHB32799.1	ACA24840.1	70.1	4e-15
AHB32799.1	BAQ01293.1	64.7	2e-13
AHB32799.1	AAT85653.1	58.5	2e-11
AHB32799.1	ADN43894.1	46.2	2e-07
AHB32799.1	ABI98976.1	45.8	2e-07
AHB32799.1	AQU71752.1	45.4	3e-07
AHB32799.1	WP_046788607.1	44.7	6e-07
AHB32799.1	WP_000456161.1	43.9	1e-06
AHB32799.1	AQU71788.1	43.1	2e-06
AHB32799.1	BAQ00746.1	43.1	2e-06
AHB32799.1	CAI33718.1	41.6	7e-06
AHB32799.1	ACV67297.1	41.2	8e-06
AHB32799.1	WP_024244058.1	40.8	1e-05
AHB32799.1	AAO37701.1	40.8	1e-05
AHB32799.1	AQU71805.1	39.7	3e-05
AHB32799.1	AAK64372.1	37.7	1e-04
AHB32799.1	BAQ00622.1	36.6	2e-04
AHB32799.1	AAL27339.1	35.8	4e-04
AHB32799.1	BAL03056.1	35.8	4e-04
AHB32799.1	ACV67289.1	34.7	0.001
AHB32799.1	CAI34008.1	34.3	0.001
AHB32799.1	BAQ01860.1	33.9	0.002
AHB32799.1	BAQ00634.1	33.5	0.002
AHB32799.1	ADC54967.1	33.5	0.002
AHB32799.1	AAM27879	33.1	0.003
AHB32799.1	ACD37138.1	32.3	0.005
AHB32799.1	ACA24821.1	32.3	0.006
AHB32799.1	ACA24811.1	32.0	0.006
AHB32799.1	AAD50486.1	30.8	0.015
AHB32799.1	ACD37105.1	30.4	0.023
AHB32357.1	AFN02899.1	30.4	0.033
CAI32727.1	CAI34498.1	44.3	1e-06
CAI32727.1	CAI34475.1	43.1	2e-06
CAI32727.1	BAQ00975.1	30.4	0.026
CAI32727.1	BAQ01317.1	30.4	0.028
CAI32823.1	CAI32843.1	875	0.0
CAI32823.1	CAI33631.1	137	9e-38
CAI32823.1	CAI33700.1	119	2e-31
CAI32823.1	CAI34269.1	71.6	2e-15
CAI32823.1	BAQ00653.1	35.8	6e-04
CAI32823.1	AAL27351.1	32.3	0.008
CAI32823.1	ADC54950.1	32.3	0.008
CAI32823.1	BAQ00687.1	32.0	0.009
CAI32823.1	BAQ00669.1	30.4	0.028
CAI32843.1	CAI33631.1	137	8e-38
CAI32843.1	CAI33700.1	120	2e-31
CAI32843.1	CAI34269.1	72.4	2e-15
CAI32843.1	BAQ00653.1	35.8	6e-04
CAI32843.1	AAL27351.1	32.3	0.008
CAI32843.1	ADC54950.1	32.3	0.008
CAI32843.1	BAQ00687.1	32.0	0.009
CAI32843.1	BAQ00669.1	30.4	0.027
CAI32935.1	CAI32867.1	930	0.0
CAI32935.1	CAI33343.1	33.1	0.004
CAI32935.1	CAI33412.1	32.3	0.009
CAI32867.1	CAI33343.1	33.1	0.004
CAI32867.1	CAI33412.1	32.3	0.009
CAI32889.1	CAI32910.1	820	0.0
CAI32889.1	CAI34454.1	804	0.0
CAI32889.1	CAI33675.1	36.2	4e-04
CAI32889.1	CAI33652.1	36.2	4e-04
CAI32889.1	ABD19779.1	31.6	0.011
CAI32889.1	WP_074526664.1	31.6	0.012
CAI32910.1	CAI34454.1	801	0.0
CAI32910.1	CAI33675.1	35.8	5e-04
CAI32910.1	CAI33652.1	35.8	5e-04
CAI32910.1	ABD19779.1	32.0	0.008
CAI32910.1	WP_074526664.1	32.0	0.009
CAI32957.1	CAI33309.1	40.0	2e-05
CAI32957.1	CAI34641.1	38.5	7e-05
CAI32957.1	CAI34369.1	36.6	3e-04
CAI32957.1	CAI34310.1	34.3	0.002
CAI32957.1	BAQ01687.1	32.0	0.008
CAI32957.1	BAQ00957.1	32.0	0.008
CAI32973.1	CAI33029.1	744	0.0
CAI32973.1	CAI33011.1	636	0.0
CAI32973.1	CAI32993.1	635	0.0
CAI32973.1	CAI33491.1	41.2	1e-05
CAI32973.1	CAI33207.1	39.7	3e-05
CAI32973.1	CAI33515.1	39.7	3e-05
CAI32973.1	CAI33188.1	37.7	1e-04
CAI32973.1	CAI33128.1	37.7	1e-04
CAI32993.1	CAI33011.1	749	0.0
CAI32993.1	CAI33029.1	655	0.0
CAI32993.1	CAI33169.1	39.7	3e-05
CAI32993.1	CAI33149.1	39.7	3e-05
CAI32993.1	CAI33207.1	39.3	4e-05
CAI32993.1	CAI33188.1	37.7	1e-04
CAI32993.1	CAI33128.1	37.7	1e-04
CAI32993.1	CAI33515.1	36.6	3e-04
CAI32993.1	CAI33491.1	35.8	4e-04
CAI33011.1	CAI33029.1	656	0.0
CAI33011.1	CAI33169.1	40.0	2e-05
CAI33011.1	CAI33149.1	40.0	2e-05
CAI33011.1	CAI33207.1	39.3	3e-05
CAI33011.1	CAI33188.1	37.7	1e-04
CAI33011.1	CAI33128.1	37.7	1e-04
CAI33011.1	CAI33515.1	37.4	1e-04
CAI33011.1	CAI33491.1	35.8	5e-04
CAI33029.1	CAI33491.1	40.8	1e-05
CAI33029.1	CAI33207.1	40.0	2e-05
CAI33029.1	CAI33515.1	39.7	3e-05
CAI33029.1	CAI33188.1	37.7	1e-04
CAI33029.1	CAI33128.1	37.7	1e-04
CAI33105.1	CAI33084.1	811	0.0
CAI33105.1	CAI34733.1	773	0.0
CAI33105.1	CAI33048.1	770	0.0
CAI33105.1	CAI34436.1	181	2e-54
CAI33105.1	ADV17650.1	32.3	0.008
CAI33048.1	CAI34733.1	822	0.0
CAI33048.1	CAI33084.1	760	0.0
CAI33048.1	CAI34436.1	179	9e-54
CAI33048.1	BAQ01999.1	32.7	0.005
CAI34733.1	CAI33084.1	764	0.0
CAI34733.1	CAI34436.1	182	4e-55
CAI34733.1	BAQ01999.1	33.5	0.003
CAI33084.1	CAI34436.1	178	2e-53
CAI33084.1	ADV17650.1	30.4	0.026
CAI33207.1	CAI33188.1	720	0.0
CAI33207.1	CAI33128.1	720	0.0
CAI33207.1	CAI33169.1	432	4e-153
CAI33207.1	CAI33149.1	432	4e-153
CAI33207.1	ACD37157.1	35.0	9e-04
CAI33207.1	CAI33515.1	33.5	0.002
CAI33207.1	CAI33491.1	32.0	0.009
CAI33128.1	CAI33188.1	759	0.0
CAI33128.1	CAI33169.1	437	7e-155
CAI33128.1	CAI33149.1	437	7e-155
CAI33128.1	CAI33515.1	35.4	6e-04
CAI33128.1	CAI33491.1	33.5	0.002
CAI33149.1	CAI33169.1	761	0.0
CAI33149.1	CAI33188.1	437	7e-155
CAI33149.1	CAI33515.1	46.2	2e-07
CAI33149.1	CAI33491.1	34.3	0.001
CAI33149.1	AAY28249.1	33.1	0.004
CAI33149.1	BAQ01960.1	32.0	0.008
CAI33169.1	CAI33188.1	437	7e-155
CAI33169.1	CAI33515.1	46.2	2e-07
CAI33169.1	CAI33491.1	34.3	0.001
CAI33169.1	AAY28249.1	33.1	0.004
CAI33169.1	BAQ01960.1	32.0	0.008
CAI33188.1	CAI33515.1	35.4	6e-04
CAI33188.1	CAI33491.1	33.5	0.002
CAI33278.1	CAI34753.1	807	0.0
CAI33278.1	CAI33252.1	807	0.0
CAI33278.1	CAI34613.1	772	0.0
CAI33278.1	CAI33226.1	772	0.0
CAI33278.1	AAY28249.1	35.8	6e-04
CAI33278.1	CAI34217.1	30.8	0.021
CAI33226.1	CAI34613.1	799	0.0
CAI33226.1	CAI34753.1	772	0.0
CAI33226.1	CAI33252.1	772	0.0
CAI33226.1	AAY28249.1	35.4	6e-04
CAI33226.1	CAI34217.1	30.8	0.021
CAI33252.1	CAI34753.1	807	0.0
CAI33252.1	CAI34613.1	772	0.0
CAI33252.1	AAY28249.1	35.8	6e-04
CAI33252.1	CAI34217.1	30.8	0.021
CAI33309.1	CAI33441.1	96.7	5e-24
CAI33309.1	CAI34310.1	86.7	2e-20
CAI33309.1	CAI34369.1	83.2	2e-19
CAI33309.1	CAI34519.1	79.7	3e-18
CAI33309.1	CAI34328.1	79.7	3e-18
CAI33309.1	CAI34286.1	77.8	1e-17
